Age,EstimatedSalary,Purchased
25,80000,0
24,19000,0
46,88000,1
40,57000,0
56,104000,1
39,73000,0
47,30000,1
30,89000,0
41,80000,0
53,72000,1
41,72000,0
48,138000,1
30,80000,0
51,23000,1
28,59000,0
35,88000,0
42,75000,0
23,66000,0
31,74000,0
54,108000,1
29,47000,0
35,73000,0
38,65000,0
42,65000,0
41,72000,0
28,79000,0
39,134000,1
33,43000,0
50,44000,0
38,113000,1
35,59000,0
46,59000,0
26,43000,0
31,76000,0
48,134000,1
45,45000,1
40,57000,0
46,28000,1
39,79000,0
48,33000,1
19,21000,0
26,118000,0
48,131000,1
32,117000,1
27,90000,0
25,22000,0
28,85000,0
37,57000,0
60,46000,1
41,71000,0
33,69000,0
39,42000,0
26,32000,0
24,55000,0
37,71000,0
37,74000,0
