Age,EstimatedSalary,Purchased
36,125000,1
60,34000,1
27,96000,1
33,149000,1
33,41000,0
42,80000,0
33,31000,0
35,44000,0
20,74000,0
19,21000,0
35,72000,0
48,33000,1
52,38000,1
48,30000,1
52,150000,1
33,69000,0
59,143000,1
35,38000,0
40,71000,1
39,42000,0
28,37000,0
35,88000,0
29,28000,0
49,88000,1
40,142000,1
40,75000,0
41,45000,0
59,130000,1
40,75000,0
29,47000,0
49,89000,1
38,50000,0
56,60000,1
32,120000,1
28,59000,0
25,90000,0
23,48000,0
43,129000,1
46,79000,1
48,141000,0
47,25000,1
31,66000,0
45,26000,1
38,59000,0
31,68000,0
35,39000,0
47,47000,0
30,17000,0
60,108000,1
21,68000,0
36,54000,0
35,108000,0
26,72000,0
24,19000,0
28,84000,0
39,75000,1
39,96000,1
35,71000,0
41,63000,0
48,33000,1
59,83000,0
46,41000,1
46,88000,1
24,32000,0
