Age,EstimatedSalary,Purchased
30,89000,0
42,65000,0
58,38000,1
40,75000,0
34,72000,0
29,43000,0
35,75000,0
47,43000,0
28,123000,1
50,20000,1
47,25000,1
48,30000,1
56,104000,1
35,97000,1
59,42000,0
18,82000,0
49,65000,0
35,50000,0
41,51000,0
41,72000,0
18,52000,0
40,59000,0
39,96000,1
37,93000,1
49,141000,1
24,27000,0
46,79000,1
35,75000,0
30,62000,0
48,41000,1
37,77000,0
48,29000,1
38,112000,0
32,18000,0
57,74000,1
42,80000,1
24,55000,0
42,90000,1
39,79000,0
59,143000,1
49,36000,1
41,63000,0
36,99000,1
38,71000,0
19,85000,0
26,15000,0
18,86000,0
40,60000,0
58,47000,1
53,143000,1
56,133000,1
54,108000,1
35,55000,0
28,85000,0
21,88000,0
36,33000,0
60,42000,1
46,32000,1
52,150000,1
24,19000,0
30,79000,0
31,15000,0
30,49000,0
42,80000,0
37,53000,0
39,75000,1
22,18000,0
36,63000,0
59,76000,1
37,52000,0
26,80000,0
49,74000,0
40,65000,0
47,113000,1
23,20000,0
47,49000,1
44,139000,1
40,71000,1
18,44000,0
26,80000,0
31,68000,0
58,101000,1
30,15000,0
54,104000,1
