R&D Spend,Administration,Marketing Spend,State,Profit
130298.13,145530.06,323876.68,Florida,155752.6
119943.24,156547.42,256512.92,Florida,132602.65
1000.23,124153.04,1903.93,New York,64926.08
542.05,51743.15,0.0,New York,35673.41
65605.48,153032.06,107138.38,New York,101004.64
114523.61,122616.84,261776.23,New York,129917.04
61994.48,115641.28,91131.24,Florida,99937.59
63408.86,129219.61,46085.25,California,97427.84
78013.11,121597.55,264346.06,California,126992.93
23640.93,96189.63,148001.11,California,71498.49
76253.86,113867.3,298664.47,California,118474.03
15505.73,127382.3,35534.17,New York,69758.98
120542.52,148718.95,311613.29,New York,152211.77
91992.39,135495.07,252664.93,California,134307.35
64664.71,139553.16,137962.62,California,107404.34
131876.9,99814.71,362861.36,New York,156991.12
94657.16,145077.58,282574.31,New York,125370.37
28754.33,118546.05,172795.67,California,78239.91
0.0,116983.8,45173.06,California,14681.4
162597.7,151377.59,443898.53,California,191792.06
93863.75,127320.38,249839.44,Florida,141585.52
44069.95,51283.14,197029.42,California,89949.14
77044.01,99281.34,140574.81,New York,108552.04
134615.46,147198.87,127716.82,California,156122.51
67532.53,105751.03,304768.73,Florida,108733.99
28663.76,127056.21,201126.82,Florida,90708.19
78389.47,153773.43,299737.29,New York,111313.02
86419.7,153514.11,0.0,New York,122776.86
123334.88,108679.17,304981.62,California,149759.96
38558.51,82982.09,174999.3,California,81005.76
1315.46,115816.21,297114.46,Florida,49490.75
144372.41,118671.85,383199.62,New York,182901.99
165349.2,136897.8,471784.1,New York,192261.83
0.0,135426.92,0.0,California,42559.73
22177.74,154806.14,28334.72,California,65200.33
