registered,cnt
40,42
92,148
34,37
189,224
6,7
598,662
27,30
187,219
312,336
40,57
84,88
131,139
7,7
142,179
206,306
36,47
306,372
66,107
218,274
177,183
140,278
112,118
2,2
94,104
213,228
32,38
165,223
55,74
235,312
649,665
49,57
48,50
34,34
73,75
231,283
4,4
742,900
120,194
252,518
105,161
59,59
9,12
295,365
237,371
33,36
357,412
503,529
197,283
103,142
37,68
245,367
201,282
684,777
280,342
55,61
329,532
163,178
64,66
163,212
41,43
227,234
197,220
11,11
58,63
31,31
17,21
151,211
115,157
1,1
31,46
11,12
16,19
63,66
176,205
176,246
33,35
127,147
83,117
277,352
227,233
289,491
22,24
4,5
149,201
39,48
142,220
298,502
447,513
89,101
18,23
127,199
297,347
220,316
311,322
393,401
263,309
9,12
86,94
25,31
25,30
539,568
145,154
309,573
21,24
141,142
164,176
110,161
28,29
76,87
284,432
182,248
5,11
16,18
9,9
202,270
126,152
216,226
2,2
5,5
4,4
323,384
11,12
8,13
158,237
127,150
132,181
154,203
309,499
99,122
60,64
49,49
393,418
54,72
54,60
345,361
0,1
202,322
57,62
306,328
3,4
67,82
83,106
132,136
55,96
163,216
70,76
240,285
193,200
168,217
120,166
462,529
232,271
302,358
145,191
139,176
176,188
13,17
239,341
28,34
175,255
10,11
228,386
82,89
104,212
613,702
108,110
231,362
177,238
4,5
5,7
15,24
27,27
110,114
158,252
76,78
7,7
212,232
307,326
62,67
16,16
222,320
432,476
116,124
209,214
90,108
47,61
43,46
14,21
391,423
14,14
63,65
468,656
102,125
194,251
19,20
196,418
128,184
16,17
491,507
243,257
190,210
101,104
323,413
37,38
175,266
280,296
11,14
628,654
71,89
5,6
97,117
4,4
758,784
207,316
287,416
27,31
37,46
140,143
4,4
39,41
13,19
148,186
2,2
210,240
116,138
216,293
138,145
19,21
305,311
9,12
26,26
244,286
15,19
149,212
543,618
26,28
258,297
200,211
121,164
111,129
47,50
120,138
332,391
147,201
182,186
282,310
60,62
45,70
26,34
177,202
31,39
264,344
662,743
70,77
774,864
185,254
58,61
57,71
171,199
232,374
15,23
298,319
368,398
145,171
2,2
282,302
742,827
487,565
5,5
101,108
3,3
549,560
484,569
193,217
128,155
454,517
12,12
354,443
129,202
189,201
236,282
139,205
155,215
111,120
3,3
98,127
104,121
5,5
175,211
4,5
70,93
60,75
5,8
209,221
719,822
707,808
254,357
4,4
1,1
23,28
52,52
766,888
261,268
57,58
20,23
185,207
192,289
138,162
97,135
171,179
31,33
260,328
109,121
92,103
48,64
64,69
258,282
22,33
576,624
180,196
36,44
284,320
31,32
40,42
2,2
8,10
248,339
228,313
55,90
41,41
147,155
12,12
42,80
59,86
139,148
128,162
194,234
354,384
179,210
35,40
302,392
6,8
21,32
40,50
3,8
24,25
3,4
1,1
4,5
124,125
2,2
14,17
